"Station Code","STORE NAME","Store ID","Total COD Shipments Amount","Due Amount","Unreconciled %","Latest Active Date / Days","Latest Transaction / Date","Action Required"
"DEX5","MARKET MAKA","8638059992",760357.2399999999,168609.24,0.22175002897322318,58,67,""
"DEX5","Turkey","2960600661",667966.0700000001,166685.07,0.249541222954633,58,67,""
"DEX5","Eissa Coffee","4197522754",778288.6800000002,153401.68,0.19710126067874964,58,67,""
"DEX5","Makka market","9377657720",399169.17,110529.17,0.27689806304429776,58,67,""
"DEX5","toffy","4126454127",361997.9,109502.9,0.30249595370580873,41,36,""
"DEX5","market wael","5717666393",1167722.8599999999,108754.86,0.09313413629668944,15,31,""
"DEX5","Noor Phone","6376233374",256864.27,92847.27,0.36146432510835397,14,15,""
"DEX5","bazar fuad","9884842152",232000.51,85000.51,0.3663807032148334,35,8,""
"DEX5","ORGAERA","1385400645",398562.6899999999,78785.69,0.19767452392495652,58,67,""
"DEX5","Abo iessa","8578470998",1201698.7599999998,78270.76,0.06513342828114428,57,67,""
"DEX5","بازار محمد الزعيم","9735452235",252369.23,67546.23,0.2676484371727884,23,55,""
"DEX5","مكتبة ورقه وقلم","1228844307",409785.3199999999,64531.32,0.15747591934235228,58,67,""
"DEX5","Kimo Phone","2957899808",498858.9799999999,60785.48,0.12184902434752204,9,9,""
"DEX5","mushtal alnasr","3710022338",108280.22,53490.22,0.49399807277820457,58,60,""
"DEX5","طيور النجار","7649403763",352031.20000000007,48829.2,0.13870702369562693,4,23,""
"DEX5","KAREM SALON","2394073037",811977.7400000001,47409.74,0.05838797994634679,12,7,""
"DEX5","maktabat almisri","8350300197",75337.70999999999,46487.71,0.6170576461641853,14,54,""
"DEX5","CROP","5104266348",157682.53000000003,44987.53,0.2853044658783696,15,19,""
"DEX5","DRy clean elkoptan","9421433420",1369638.6700000002,44948.67,0.032817903717627946,9,24,""
"DEX5","بازار الدخاخني 2","8437053544",1302531.9299999997,44486.18,0.03415361955848561,9,9,""
"DEX5","DOCTORZ COMBANY","4937562082",1250081.16,44411.16,0.03552662132753045,56,62,""
"DEX5","Sky for Travel","9035637147",331555.05,36340.05,0.10960487557043695,9,10,""
"DEX5","Abu Fares Accessories","7775011772",260288.01,32955.01,0.12660978890268515,109,117,""
"DEX5","Misho","9133473426",141326.87,31936.87,0.22597875407556964,16,16,""
"DEX5","ماركت رحيم","9951235440",1345859.7099999995,24262.71,0.018027666494303488,9,17,""
"DEX5","صابركو للأدوات الصحيه","8408983777",283846.1099999999,23403.11,0.08244999376598822,32,63,""
